2017-02-02 19:14:19,572 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @92560ms
2017-02-02 19:14:19,798 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2017-02-02 19:14:19,877 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@2badbd67{/help,null,AVAILABLE}
2017-02-02 19:14:19,897 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@46f57d99{HTTP/1.1}{127.0.0.1:49453}
2017-02-02 19:14:19,897 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @92903ms
2017-02-02 19:15:08,950 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not available. Remote download required.
2017-02-02 19:16:52,365 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@46f57d99{HTTP/1.1}{127.0.0.1:0}
2017-02-02 19:16:52,405 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@2badbd67{/help,null,UNAVAILABLE}
2017-02-02 19:22:41,300 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2017-02-04 13:41:35,397 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-02-05 10:26:45,538 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
